Name,From,Till,Total(days),Born,Age,Celebrates,Title
Anne,01/05/1707,01/08/1714,2650,06/02/1665,49,7,queen
George I,01/08/1714,11/06/1727,4698,28/05/1660,67,13,king
George II,11/06/1727,25/10/1760,12180,30/10/1683,76,33,king
George III,25/10/1760,29/01/1820,21645,04/06/1738,81,58,king
George IV,29/01/1820,26/06/1830,3802,12/08/1762,67,10,king
William IV,26/06/1830,20/06/1837,2552,21/08/1765,71,7,king
Victoria,20/06/1837,22/01/1901,23227,24/05/1819,81,62,queen
Edward VII,22/01/1901,06/05/1910,3392,9/11/1841,68,9,king
George V,06/05/1910,20/01/1936,9391,03/06/1865,70,25,king
Edward VIII,20/01/193,11/12/1936,327,23/06/1894,77,1,king
George VI,11/12/1936,06/02/1952,5536,14/12/1895,56,15,king
Elizabeth II,06/02/1952,01/06/2020,24952,21/04/1926,94,69,queen